donation_id,donor_id,donation_date,amount,campaign_id,payment_method,gift_type,gift_aid_claimed
10000,1000,2024-02-26,187.45,,Cash,One-off,Yes
10001,1000,2023-12-15,364.89,,Card,One-off,Yes
10002,1000,2024-03-14,256.78,133.0,Card,One-off,Yes
10003,1000,2024-09-13,510.95,124.0,Card,One-off,Yes
10004,1000,2023-10-05,284.69,123.0,Bank Transfer,One-off,Yes
10005,1000,2023-08-08,290.25,130.0,Card,One-off,Yes
10006,1000,2024-10-05,517.64,107.0,Card,One-off,Yes
10007,1000,2023-06-13,332.68,108.0,Bank Transfer,One-off,Yes
10008,1000,2023-12-22,216.36,,Cash,One-off,No
10009,1001,2024-02-07,8.65,,Bank Transfer,One-off,Yes
10010,1001,2024-05-23,7.26,,Cheque,One-off,No
10011,1002,2023-12-21,12.19,105.0,Bank Transfer,One-off,Yes
10012,1002,2023-12-13,21.28,112.0,Cheque,One-off,No
10013,1002,2024-09-16,21.21,124.0,Bank Transfer,One-off,Yes
10014,1002,2023-02-21,28.73,113.0,Card,One-off,No
10015,1002,2024-08-01,21.08,122.0,Card,One-off,No
10016,1003,2024-08-03,49.65,122.0,Card,One-off,Yes
10017,1005,2023-05-11,25.9,,Bank Transfer,One-off,No
10018,1006,2024-07-18,15.89,,Card,One-off,Yes
10019,1006,2024-08-29,48.94,,Card,One-off,Yes
10020,1007,2023-08-09,19.07,130.0,Card,One-off,Yes
10021,1007,2023-09-08,15.55,123.0,Bank Transfer,One-off,No
10022,1008,2023-08-15,44.88,116.0,Cash,One-off,No
10023,1008,2023-12-26,22.98,,Cheque,One-off,No
10024,1008,2024-01-11,28.74,,Cheque,One-off,Yes
10025,1008,2023-11-28,37.94,112.0,Card,One-off,Yes
10026,1009,2023-12-20,7.95,112.0,Card,One-off,No
10027,1010,2024-11-26,15.67,,Bank Transfer,One-off,Yes
10028,1012,2024-02-09,8.7,128.0,Card,One-off,No
10029,1012,2023-02-26,7.41,115.0,Card,One-off,Yes
10030,1013,2023-11-17,10.3,,Card,One-off,Yes
10031,1013,2023-11-27,5.93,112.0,Bank Transfer,One-off,No
10032,1014,2023-03-18,5.0,100.0,Bank Transfer,One-off,No
10033,1014,2023-06-07,5.0,108.0,Card,One-off,Yes
10034,1014,2023-01-30,5.0,131.0,Bank Transfer,One-off,Yes
10035,1014,2023-03-05,5.0,115.0,Card,One-off,Yes
10036,1014,2024-01-23,5.0,128.0,Card,One-off,Yes
10037,1014,2024-03-14,5.0,133.0,Card,One-off,No
10038,1014,2024-05-31,5.0,120.0,Bank Transfer,One-off,No
10039,1014,2024-08-01,5.0,122.0,Bank Transfer,One-off,Yes
10040,1014,2023-03-08,5.0,100.0,Bank Transfer,One-off,No
10041,1014,2023-05-25,5.0,108.0,Bank Transfer,One-off,No
10042,1014,2024-06-15,5.0,132.0,Card,One-off,No
