history_id,donor_id,contact_type,contact_date,contact_outcome,campaign_id,staff_member,notes,valid_from,valid_to,is_current
40000,6969,SMS,2024-05-09,Delivered,,Emily L,SMS contact - Delivered,2024-05-09,,False
40001,6969,Direct Mail,2024-08-19,Delivered,,Sarah M,Direct Mail contact - Delivered,2024-08-19,,False
40002,6969,Email,2023-11-02,Delivered,100.0,Sarah M,Email contact - Delivered,2023-11-02,,True
40003,5047,Email,2024-02-20,Delivered,131.0,Priya S,Email contact - Delivered,2024-02-20,,False
40004,5047,Phone,2024-08-20,Successful,103.0,Emily L,Phone contact - Successful,2024-08-20,,True
40005,6395,Phone,2024-04-09,Successful,,James K,Phone contact - Successful,2024-04-09,,False
40006,6395,SMS,2024-02-25,Delivered,,Priya S,SMS contact - Delivered,2024-02-25,,False
40007,6395,Email,2024-04-24,Successful,103.0,Priya S,Email contact - Successful,2024-04-24,,False
40008,6395,Email,2023-12-17,Bounced,,Priya S,Email contact - Bounced,2023-12-17,,False
40009,6395,Email,2024-07-01,Opted Out,110.0,Priya S,Email contact - Opted Out,2024-07-01,2024-09-15,False
40010,6395,Phone,2024-01-12,No Answer,105.0,Sarah M,Phone contact - No Answer,2024-01-12,,False
40011,6395,SMS,2024-10-23,Delivered,,Priya S,SMS contact - Delivered,2024-10-23,,False
40012,6395,Email,2023-12-08,Delivered,120.0,James K,Email contact - Delivered,2023-12-08,,False
40013,6395,SMS,2024-02-20,Delivered,110.0,Ahmed R,SMS contact - Delivered,2024-02-20,,False
40014,6395,Direct Mail,2024-04-29,Delivered,129.0,Priya S,Direct Mail contact - Delivered,2024-04-29,,False
40015,6395,Email,2023-09-16,Delivered,105.0,James K,Email contact - Delivered,2023-09-16,,False
40016,6395,Phone,2023-09-24,Successful,127.0,Sarah M,Phone contact - Successful,2023-09-24,,False
40017,6395,SMS,2024-11-16,Opted Out,,Emily L,SMS contact - Opted Out,2024-11-16,,True
40018,5192,Direct Mail,2024-02-10,Delivered,132.0,Priya S,Direct Mail contact - Delivered,2024-02-10,,False
40019,5192,Phone,2023-06-13,No Answer,115.0,Emily L,Phone contact - No Answer,2023-06-13,,False
40020,5192,SMS,2023-09-06,Successful,,Priya S,SMS contact - Successful,2023-09-06,,False
40021,5192,Email,2023-08-17,Delivered,,Ahmed R,Email contact - Delivered,2023-08-17,,False
40022,5192,Phone,2024-09-16,No Answer,,James K,Phone contact - No Answer,2024-09-16,,False
40023,5192,Phone,2023-03-26,No Answer,107.0,Emily L,Phone contact - No Answer,2023-03-26,,False
40024,5192,Email,2024-03-25,Delivered,117.0,James K,Email contact - Delivered,2024-03-25,,False
40025,5192,Direct Mail,2023-01-13,Delivered,,James K,Direct Mail contact - Delivered,2023-01-13,,False
40026,5192,SMS,2023-09-24,Delivered,,Emily L,SMS contact - Delivered,2023-09-24,,False
40027,5192,Email,2023-12-28,Delivered,,Priya S,Email contact - Delivered,2023-12-28,,False
40028,5192,SMS,2023-09-30,Opted Out,,Sarah M,SMS contact - Opted Out,2023-09-30,,True
40029,1377,Phone,2024-01-28,Successful,,Sarah M,Phone contact - Successful,2024-01-28,,False
40030,1377,Phone,2023-01-01,Successful,,Ahmed R,Phone contact - Successful,2023-01-01,,False
40031,1377,Phone,2024-02-24,No Answer,,Ahmed R,Phone contact - No Answer,2024-02-24,,False
40032,1377,Direct Mail,2023-02-05,Delivered,120.0,James K,Direct Mail contact - Delivered,2023-02-05,,False
40033,1377,SMS,2024-11-10,Delivered,111.0,Ahmed R,SMS contact - Delivered,2024-11-10,,False
40034,1377,Direct Mail,2024-05-30,Delivered,,Sarah M,Direct Mail contact - Delivered,2024-05-30,,False
40035,1377,Email,2024-11-15,Successful,121.0,Ahmed R,Email contact - Successful,2024-11-15,,True
40036,4962,Direct Mail,2024-08-17,Delivered,106.0,James K,Direct Mail contact - Delivered,2024-08-17,,False
40037,4962,Email,2023-03-24,Delivered,113.0,Sarah M,Email contact - Delivered,2023-03-24,,False
40038,4962,Direct Mail,2024-09-13,Delivered,116.0,Ahmed R,Direct Mail contact - Delivered,2024-09-13,,False
40039,4962,Email,2023-02-14,Delivered,,James K,Email contact - Delivered,2023-02-14,,False
40040,4962,Direct Mail,2023-11-10,Delivered,120.0,Emily L,Direct Mail contact - Delivered,2023-11-10,,False
40041,4962,Email,2024-01-13,Successful,125.0,Emily L,Email contact - Successful,2024-01-13,,False
40042,4962,Direct Mail,2023-04-03,Delivered,108.0,Priya S,Direct Mail contact - Delivered,2023-04-03,,True
40043,7421,Direct Mail,2024-07-04,Delivered,117.0,Ahmed R,Direct Mail contact - Delivered,2024-07-04,,False
40044,7421,Email,2023-05-09,Bounced,,Ahmed R,Email contact - Bounced,2023-05-09,,False
40045,7421,SMS,2023-08-14,Delivered,133.0,Sarah M,SMS contact - Delivered,2023-08-14,,True
40046,5634,Phone,2024-07-14,No Answer,112.0,Priya S,Phone contact - No Answer,2024-07-14,,False
40047,5634,Email,2024-07-24,Bounced,101.0,Ahmed R,Email contact - Bounced,2024-07-24,,False
40048,5634,Phone,2023-04-27,No Answer,,Sarah M,Phone contact - No Answer,2023-04-27,,False
40049,5634,Phone,2024-06-18,No Answer,132.0,Sarah M,Phone contact - No Answer,2024-06-18,,True
40050,5350,Email,2024-03-29,Successful,125.0,James K,Email contact - Successful,2024-03-29,,False
40051,5350,Direct Mail,2023-04-08,Delivered,113.0,James K,Direct Mail contact - Delivered,2023-04-08,,False
40052,5350,Phone,2024-06-26,No Answer,118.0,Emily L,Phone contact - No Answer,2024-06-26,,False
40053,5350,Phone,2023-10-12,Successful,,Priya S,Phone contact - Successful,2023-10-12,,False
40054,5350,Phone,2023-11-20,Delivered,112.0,Ahmed R,Phone contact - Delivered,2023-11-20,,False
40055,5350,Phone,2024-05-28,Delivered,,Priya S,Phone contact - Delivered,2024-05-28,,False
40056,5350,Direct Mail,2024-05-07,Opted Out,118.0,Priya S,Direct Mail contact - Opted Out,2024-05-07,2024-08-05,False
40057,5350,SMS,2023-06-19,Delivered,,James K,SMS contact - Delivered,2023-06-19,,False
40058,5350,Phone,2023-01-18,No Answer,127.0,Sarah M,Phone contact - No Answer,2023-01-18,,False
40059,5350,SMS,2023-10-03,Delivered,133.0,Emily L,SMS contact - Delivered,2023-10-03,,False
40060,5350,Email,2024-11-30,Delivered,126.0,Sarah M,Email contact - Delivered,2024-11-30,,True
40061,1859,SMS,2024-01-14,Successful,105.0,Priya S,SMS contact - Successful,2024-01-14,,False
40062,1859,Direct Mail,2023-11-14,Delivered,117.0,Priya S,Direct Mail contact - Delivered,2023-11-14,,False
40063,1859,Phone,2024-01-06,No Answer,133.0,Priya S,Phone contact - No Answer,2024-01-06,,False
40064,1859,Phone,2023-06-18,Successful,107.0,Emily L,Phone contact - Successful,2023-06-18,,False
40065,1859,Direct Mail,2024-10-13,Bounced,111.0,Priya S,Direct Mail contact - Bounced,2024-10-13,,False
40066,1859,Direct Mail,2024-01-03,Delivered,,Ahmed R,Direct Mail contact - Delivered,2024-01-03,,False
40067,1859,Email,2023-01-03,Successful,,Priya S,Email contact - Successful,2023-01-03,,False
40068,1859,Phone,2024-04-10,No Answer,,Priya S,Phone contact - No Answer,2024-04-10,,False
40069,1859,SMS,2024-10-17,Successful,121.0,Priya S,SMS contact - Successful,2024-10-17,,False
40070,1859,Email,2023-07-29,Delivered,,Priya S,Email contact - Delivered,2023-07-29,,False
40071,1859,SMS,2023-07-21,Opted Out,,Ahmed R,SMS contact - Opted Out,2023-07-21,,True
40072,5232,Direct Mail,2023-11-14,Delivered,105.0,Priya S,Direct Mail contact - Delivered,2023-11-14,,False
40073,5232,SMS,2023-01-16,Successful,134.0,Ahmed R,SMS contact - Successful,2023-01-16,,False
40074,5232,Email,2024-10-07,Bounced,118.0,Emily L,Email contact - Bounced,2024-10-07,,False
