transaction_id,donor_reference,transaction_date,amount,currency,payment_method,payment_status,bank_reference,processing_fee,net_amount,campaign_code,data_source
20000,DNR-01000,2024-02-26,187.45,GBP,Cash,Completed,BK902511,0.0,187.45,,Finance System
20001,DNR-01000,2023-12-15,364.89,GBP,Card,Completed,BK399712,9.12,355.77,,Finance System
20002,DNR-01000,2024-03-14,256.78,GBP,Card,Completed,BK557233,6.42,250.35999999999999,C133.0,Finance System
20003,DNR-01000,2024-09-13,510.95,GBP,Card,Pending,BK276648,12.77,498.18,C124.0,Finance System
20004,DNR-01000,2023-10-05,284.69,GBP,Bank Transfer,Completed,BK414013,0.0,284.69,C123.0,Finance System
20005,DNR-01000,2023-08-08,290.25,GBP,Card,Completed,BK517086,7.26,282.99,C130.0,Finance System
20006,DNR-01000,2024-10-05,517.64,GBP,Card,Completed,BK287092,12.94,504.7,C107.0,Finance System
20007,DNR-01000,2023-06-13,332.68,GBP,Bank Transfer,Completed,BK403099,0.0,332.68,C108.0,Finance System
20008,DNR-01000,2023-12-22,216.36,GBP,Cash,Completed,BK677207,0.0,216.36,,Finance System
20009,DNR-01001,2024-02-07,8.65,GBP,Bank Transfer,Pending,BK400681,0.0,8.65,,Finance System
20010,DNR-01001,2024-05-23,7.26,GBP,Cheque,Completed,BK395219,0.0,7.26,,Finance System
20011,DNR-01002,2023-12-21,12.19,GBP,Bank Transfer,Failed,BK548631,0.0,12.19,C105.0,Finance System
20012,DNR-01002,2023-12-13,21.28,GBP,Cheque,Completed,BK697108,0.0,21.28,C112.0,Finance System
20013,ANON-6949,2024-09-16,21.21,GBP,Bank Transfer,Completed,BK458412,0.0,21.21,C124.0,Finance System
20014,DNR-01002,2023-02-21,28.73,GBP,Card,Completed,BK366202,0.72,28.01,C113.0,Finance System
20015,DNR-01002,2024-08-01,21.08,GBP,Card,Completed,BK203044,0.53,20.549999999999997,C122.0,Finance System
20016,DNR-01003,2024-08-03,49.65,GBP,Card,Completed,BK715667,1.24,48.41,C122.0,Finance System
20017,DNR-01005,2023-05-11,25.9,GBP,Bank Transfer,Completed,BK265324,0.0,25.9,,Finance System
20018,DNR-01006,2024-07-18,15.89,GBP,Card,Completed,BK654161,0.4,15.49,,Finance System
20019,DNR-01006,2024-08-29,48.94,GBP,Card,Completed,BK286900,1.22,47.72,,Finance System
20020,DNR-01007,2023-08-09,19.07,GBP,Card,Completed,BK946672,0.48,18.59,C130.0,Finance System
20021,DNR-01007,2023-09-08,15.55,GBP,Bank Transfer,Completed,BK231165,0.0,15.55,C123.0,Finance System
20022,DNR-01008,2023-08-15,44.88,GBP,Cash,Completed,BK499029,0.0,44.88,C116.0,Finance System
20023,DNR-01008,2023-12-26,22.98,GBP,Cheque,Completed,BK326092,0.0,22.98,,Finance System
20024,DNR-01008,2024-01-11,28.74,GBP,Cheque,Completed,BK895073,0.0,28.74,,Finance System
20025,DNR-01008,2023-11-28,37.94,GBP,Card,Completed,BK463542,0.95,36.989999999999995,C112.0,Finance System
20026,DNR-01009,2023-12-20,7.95,GBP,Card,Completed,BK334978,0.2,7.75,C112.0,Finance System
20027,DNR-01010,2024-11-26,15.67,GBP,Bank Transfer,Completed,BK740473,0.0,15.67,,Finance System
20028,DNR-01012,2024-02-09,8.7,GBP,Card,Completed,BK218134,0.22,8.479999999999999,C128.0,Finance System
20029,DNR-01012,2023-02-26,7.41,GBP,Card,Completed,BK868957,0.19,7.22,C115.0,Finance System
20030,DNR-01013,2023-11-17,10.3,GBP,Card,Completed,BK146905,0.26,10.040000000000001,,Finance System
20031,ANON-2563,2023-11-27,5.93,GBP,Bank Transfer,Completed,BK673304,0.0,5.93,C112.0,Finance System
20032,DNR-01014,2023-03-18,5.0,GBP,Bank Transfer,Completed,BK645476,0.0,5.0,C100.0,Finance System
20033,DNR-01014,2023-06-07,5.0,GBP,Card,Completed,BK781149,0.12,4.88,C108.0,Finance System
20034,DNR-01014,2023-01-30,5.0,GBP,Bank Transfer,Completed,BK609176,0.0,5.0,C131.0,Finance System
20035,DNR-01014,2023-03-05,5.0,GBP,Card,Pending,BK798715,0.12,4.88,C115.0,Finance System
20036,DNR-01014,2024-01-23,5.0,GBP,Card,Completed,BK145521,0.12,4.88,C128.0,Finance System
20037,DNR-01014,2024-03-14,5.0,GBP,Card,Completed,BK656025,0.12,4.88,C133.0,Finance System
20038,DNR-01014,2024-05-31,5.0,GBP,Bank Transfer,Completed,BK222091,0.0,5.0,C120.0,Finance System
20039,DNR-01014,2024-08-01,5.0,GBP,Bank Transfer,Completed,BK667193,0.0,5.0,C122.0,Finance System
20040,DNR-01014,2023-03-08,5.0,GBP,Bank Transfer,Completed,BK362205,0.0,5.0,C100.0,Finance System
20041,DNR-01014,2023-05-25,5.0,GBP,Bank Transfer,Completed,BK953692,0.0,5.0,C108.0,Finance System
20042,DNR-01014,2024-06-15,5.0,GBP,Card,Completed,BK568923,0.12,4.88,C132.0,Finance System
20043,DNR-01014,2024-09-26,5.0,GBP,Card,Completed,BK752233,0.12,4.88,C124.0,Finance System
20044,DNR-01014,2024-09-19,5.0,GBP,Card,Pending,BK224546,0.12,4.88,C107.0,Finance System
20045,DNR-01014,2024-06-16,5.0,GBP,Cash,Completed,BK981281,0.0,5.0,C132.0,Finance System
20046,DNR-01014,2023-03-20,5.0,GBP,Bank Transfer,Completed,BK205796,0.0,5.0,C110.0,Finance System
20047,DNR-01014,2024-01-18,5.0,GBP,Bank Transfer,Completed,BK309494,0.0,5.0,C129.0,Finance System
20048,DNR-01014,2024-07-29,5.0,GBP,Card,Completed,BK993251,0.12,4.88,C134.0,Finance System
20049,DNR-01015,2024-07-17,83.97,GBP,Cash,Failed,BK369697,0.0,83.97,C127.0,Finance System
20050,DNR-01016,2024-07-28,6.92,GBP,Card,Completed,BK596432,0.17,6.75,C134.0,Finance System
20051,DNR-01016,2024-10-02,7.13,GBP,Card,Completed,BK244227,0.18,6.95,C124.0,Finance System
20052,DNR-01016,2023-12-23,5.13,GBP,Bank Transfer,Completed,BK400235,0.0,5.13,C105.0,Finance System
20053,DNR-01016,2024-02-27,6.66,GBP,Cash,Completed,BK647187,0.0,6.66,C119.0,Finance System
20054,DNR-01019,2023-08-14,5.62,GBP,Bank Transfer,Completed,BK461241,0.0,5.62,C130.0,Finance System
20055,DNR-01019,2024-01-11,8.31,GBP,Card,Completed,BK155923,0.21,8.1,C105.0,Finance System
20056,DNR-01019,2024-08-26,6.66,GBP,Bank Transfer,Completed,BK402385,0.0,6.66,C102.0,Finance System
20057,DNR-01021,2023-03-08,224.43,GBP,Direct Debit,Completed,BK620231,0.0,224.43,C100.0,Finance System
20058,DNR-01021,2023-08-29,172.38,GBP,Direct Debit,Completed,BK201032,0.0,172.38,,Finance System
20059,DNR-01021,2023-09-25,156.26,GBP,Direct Debit,Completed,BK481420,0.0,156.26,,Finance System
20060,DNR-01021,2023-07-01,196.73,GBP,Card,Completed,BK460522,4.92,191.81,,Finance System
20061,DNR-01021,2024-04-30,121.45,GBP,Direct Debit,Completed,BK507718,0.0,121.45,C104.0,Finance System
20062,DNR-01021,2023-03-09,222.24,GBP,Direct Debit,Completed,BK313057,0.0,222.24,C110.0,Finance System
20063,DNR-01021,2023-05-26,220.55,GBP,Direct Debit,Completed,BK419190,0.0,220.55,,Finance System
20064,DNR-01021,2024-07-16,181.74,GBP,Direct Debit,Completed,BK185218,0.0,181.74,C127.0,Finance System
20065,DNR-01021,2023-08-22,251.78,GBP,Direct Debit,Pending,BK343072,0.0,251.78,,Finance System
20066,ANON-7716,2023-02-01,248.02,GBP,Direct Debit,Completed,BK809730,0.0,248.02,C113.0,Finance System
20067,DNR-01021,2023-03-27,185.09,GBP,Direct Debit,Completed,BK579957,0.0,185.09,C100.0,Finance System
20068,DNR-01021,2024-01-21,214.23,GBP,Direct Debit,Completed,BK486142,0.0,214.23,C129.0,Finance System
20069,DNR-01021,2024-03-20,145.56,GBP,Direct Debit,Completed,BK250264,0.0,145.56,C119.0,Finance System
20070,ANON-5948,2024-09-20,158.98,GBP,Direct Debit,Completed,BK799746,0.0,158.98,C124.0,Finance System
20071,DNR-01021,2023-08-26,200.92,GBP,Direct Debit,Completed,BK867055,0.0,200.92,,Finance System
20072,DNR-01021,2024-08-25,115.19,GBP,Direct Debit,Pending,BK555298,0.0,115.19,C125.0,Finance System
20073,DNR-01021,2023-02-14,191.95,GBP,Card,Completed,BK236779,4.8,187.14999999999998,C118.0,Finance System
20074,DNR-01021,2024-06-11,174.52,GBP,Cash,Completed,BK705718,0.0,174.52,C120.0,Finance System
20075,DNR-01021,2023-09-22,164.16,GBP,Direct Debit,Completed,BK691315,0.0,164.16,,Finance System
20076,DNR-01021,2024-01-05,213.91,GBP,Card,Pending,BK149730,5.35,208.56,C105.0,Finance System
20077,DNR-01021,2023-11-07,162.1,GBP,Direct Debit,Completed,BK872667,0.0,162.1,,Finance System
20078,DNR-01021,2023-09-25,190.47,GBP,Direct Debit,Completed,BK189454,0.0,190.47,,Finance System
20079,DNR-01021,2023-01-31,221.07,GBP,Direct Debit,Failed,BK601629,0.0,221.07,C131.0,Finance System
20080,DNR-01021,2023-01-21,80.84,GBP,Direct Debit,Completed,BK917680,0.0,80.84,,Finance System
20081,DNR-01021,2023-12-13,96.21,GBP,Direct Debit,Completed,BK259163,0.0,96.21,C112.0,Finance System
20082,DNR-01021,2023-01-28,182.44,GBP,Direct Debit,Completed,BK701325,0.0,182.44,C113.0,Finance System
20083,DNR-01021,2023-06-01,190.56,GBP,Direct Debit,Completed,BK508050,0.0,190.56,C126.0,Finance System
20084,DNR-01021,2023-11-18,247.05,GBP,Direct Debit,Completed,BK681790,0.0,247.05,,Finance System
20085,DNR-01021,2023-03-12,241.4,GBP,Direct Debit,Completed,BK110052,0.0,241.4,C114.0,Finance System
20086,DNR-01021,2024-01-10,182.48,GBP,Direct Debit,Completed,BK606026,0.0,182.48,C105.0,Finance System
20087,DNR-01021,2023-01-08,211.61,GBP,Direct Debit,Completed,BK901132,0.0,211.61,,Finance System
